,value,data,startTime
0,113.0,2021-04-15,15:10:57
1,114.0,2021-04-15,15:10:59
2,113.0,2021-04-15,15:11:06
3,112.0,2021-04-15,15:11:08
4,111.0,2021-04-15,15:11:17
5,111.0,2021-04-15,15:11:19
6,109.0,2021-04-15,15:11:48
7,110.0,2021-04-15,15:11:49
8,105.0,2021-04-15,15:11:56
9,134.0,2021-04-15,15:16:16
10,132.0,2021-04-15,15:16:20
11,131.0,2021-04-15,15:16:22
12,123.0,2021-04-15,15:16:31
13,124.0,2021-04-15,15:16:33
14,122.0,2021-04-15,15:16:37
15,113.0,2021-04-15,15:16:46
16,112.0,2021-04-15,15:16:48
17,107.0,2021-04-15,15:16:54
18,105.0,2021-04-15,15:16:57
19,100.0,2021-04-15,15:17:04
20,101.0,2021-04-15,15:17:07
21,105.0,2021-04-15,15:17:12
22,104.0,2021-04-15,15:17:17
23,96.0,2021-04-15,15:17:25
24,95.0,2021-04-15,15:17:27
25,89.0,2021-04-15,15:17:36
26,92.0,2021-04-15,15:17:41
27,92.0,2021-04-15,15:17:43
28,91.0,2021-04-15,15:17:51
29,92.0,2021-04-15,15:17:52
30,98.0,2021-04-15,15:17:57
31,108.0,2021-04-15,15:18:02
32,115.0,2021-04-15,15:18:11
33,116.0,2021-04-15,15:18:12
34,124.0,2021-04-15,15:18:21
35,127.0,2021-04-15,15:18:24
36,133.0,2021-04-15,15:18:31
37,134.0,2021-04-15,15:18:33
38,136.0,2021-04-15,15:18:38
39,141.0,2021-04-15,15:18:50
40,142.0,2021-04-15,15:18:53
41,144.0,2021-04-15,15:19:00
42,145.0,2021-04-15,15:19:03
43,145.0,2021-04-15,15:19:08
44,146.0,2021-04-15,15:19:13
45,147.0,2021-04-15,15:19:20
46,148.0,2021-04-15,15:19:26
47,149.0,2021-04-15,15:19:30
48,150.0,2021-04-15,15:19:35
49,150.0,2021-04-15,15:19:38
50,151.0,2021-04-15,15:19:44
51,151.0,2021-04-15,15:19:52
52,152.0,2021-04-15,15:19:57
53,152.0,2021-04-15,15:19:58
54,152.0,2021-04-15,15:20:04
55,153.0,2021-04-15,15:20:08
56,155.0,2021-04-15,15:20:32
57,155.0,2021-04-15,15:20:35
58,155.0,2021-04-15,15:20:42
59,155.0,2021-04-15,15:20:43
60,154.0,2021-04-15,15:26:33
61,148.0,2021-04-15,15:26:37
62,147.0,2021-04-15,15:26:43
63,147.0,2021-04-15,15:26:47
64,147.0,2021-04-15,15:26:49
65,151.0,2021-04-15,15:26:58
66,151.0,2021-04-15,15:27:01
67,151.0,2021-04-15,15:27:04
68,152.0,2021-04-15,15:27:11
69,152.0,2021-04-15,15:27:14
70,152.0,2021-04-15,15:27:21
71,151.0,2021-04-15,15:27:26
72,153.0,2021-04-15,15:27:29
73,155.0,2021-04-15,15:27:38
74,155.0,2021-04-15,15:27:39
75,155.0,2021-04-15,15:27:50
76,156.0,2021-04-15,15:27:57
77,156.0,2021-04-15,15:28:02
78,156.0,2021-04-15,15:28:04
